他感冒了。|He caught a cold.|tā gǎn mào le。
他给马装上鞍子便骑马离去了。|He saddled up his horse and rode away.|tā jǐ mǎ zhuāng shàng ān zi pián qí mǎ lí qù le。
他停止扫地，倚着扫帚休息。|He stopped sweeping and rested on the broom.|tā tíng zhǐ sào de， yǐ zhuó sào zhou xiū xi。
当地地主常常虐待农民。|The local lords often treated the peasants badly.|dāng dì dì zhǔ cháng cháng nu:è dài nóng mín。
这一段长城有八个垛口。|There are eight forts in this section of the Great Wall.|zhè yī duàn cháng chéng yǒu bā gè duò kǒu。
这个岛的纬度是北纬三十度。|The latitude of the island is 30 degrees north.|zhè gè dǎo de wěi dù shì běi wěi sān shí dù。
澳大利亚是一个讲英语的国家。|Australia is an English speaking nation.|ào dà lì yà shì yī gè jiǎng Yīng yǔ de guó jiā。
我对他知识的渊博感到惊奇。|I was amazed at the extent of his knowledge.|wǒ duì tā zhī shi de yuān bó gǎn dào jīng qí。
我喜欢收集秋天赤褐色的叶子。|I like to collect russet autumn leaves.|wǒ xǐ huan shōu jí qiū tiān chì hè sè de yè zi。
这两个概念之间有何联系？|What is the connection between the two ideas?|zhè liǎng gè gài niàn zhī jiān yǒu hé lián xì？
啊，我真喜欢这首歌！好高兴！|Ah, I really love this song! I am so glad!|a， wǒ zhēn xǐ huan zhè shǒu gē！ hào gāo xìng！
他们在山脚下支起了帐篷。|They erected their tent at the foot of the mountain.|tā men zài shān jiǎo xià zhī qǐ le zhàng peng。
香蕉、 苹果和橘子都是水果.|Bananas, apples and oranges are all fruit.|xiāng jiāo、  píng guǒ huò jú zi dōu shì shuǐ guǒ.
他在昨晚的比赛中独得了48分。|He made 48 baskets in the game last night.|tā zài zuó wǎn de bǐ sài zhòng dú dé lè8 fèn。
这是中文－－我一点儿都不懂。|It's in Chinese I can make little of it.|zhè shì Zhōng wén－－ wǒ yī diǎnr dōu bù dǒng。
她学撒切尔夫人的样子倒挺像哩。|She does Mrs. Thatcher rather well.|tā xué sǎ qiè ěr fū ren de yàng zi dào tǐng xiàng li。
咱们把课文[生词]再复习一遍。|Let's go over the lesson[new words]again.|zán men bǎ kè wén[ shēng cí] zài fù xí yī biàn。
你知道谁是电灯的发明者？|Do you know who is the creator of the electric bulb?|nǐ zhī dào shéi shì diàn dēng de fā míng zhě？
桦树有光滑的皮和细长的枝。|The birch has smooth bark and slender branches.|huà shù yǒu guāng hua de pí huò xì cháng de zhī。
【谚】一朝得了利，痛苦便忘记。|Pain is forgotten where gain follows.|【 yàn】 yī cháo dé le lì， tòng kǔ pián wàng jì。
玛利把许多吃的放在冰箱里了。|Mary put a lot of food in the refrigerator.|mǎ lì bǎ xǔ duō jí de fàng zài bīng xiāng lǐ le。
这老人没有手杖就走不了路。|The old man could not walk without a stick.|zhè lǎo rén méi yǒu shǒu zhàng jiù zǒu bù liǎo lù。
你知道美国的三大电视网吗？|Do you know the three USA television networks?|nǐ zhī dào Měi guó de sān dà diàn shì wǎng ma？
澳大利亚是一个讲英语的国家。|Australia is an English speaking nation.|ào dà lì yà shì yī gè jiǎng Yīng yǔ de guó jiā。
这老人没有手杖就走不了路。|The old man could not walk without a stick.|zhè lǎo rén méi yǒu shǒu zhàng jiù zǒu bù liǎo lù。
蝙蝠在夜间飞行，以昆虫为食。|Bats fly at night and feed on insects.|biān fú zài yè jiān fēi xíng， yǐ kūn chóng wèi sì。
护士给病人清洗皮肤、 刮去毛发.|The nurse washed and shaved the patient.|hù shi jǐ bìng rén qīng xǐ pí fū、  guā qù máo fà.
他翻阅地址簿，寻找号码。|He thumbed through the address book looking for the number.|tā fān yuè dì zhǐ bù， xún zhǎo hào mǎ。
我该怎样才能报答你的好意呢？|How can I ever repay you for your kindness?|wǒ gāi zěn yàng cái néng bào dá nǐ de hào yì ne？
我冤枉了她，怎样才能补救呢？|How can I repair the wrong I have done her?|wǒ yuān wang le tā， zěn yàng cái néng bǔ jiù ne？
帮我洗洗这些锅碗瓢盆好吗？|Will you help me to wash up all these pots and pans?|bāng wǒ xǐ xǐ zhè xie guō wǎn piáo pén hào ma？
你到美国是坐船还是坐飞机？|Are you going to America by boat or by plane?|nǐ dào Měi guó shì zuò chuán hái shì zuò fēi jī？
你到美国是坐船还是坐飞机？|Are you going to America by boat or by plane?|nǐ dào Měi guó shì zuò chuán hái shì zuò fēi jī？
他用欧芹的嫩枝点缀在鸡上。|He decorated the chicken with sprigs of parsley.|tā yòng ōu qín de nèn zhī diǎn zhuì zài jī shàng。
太阳、月亮和星星都是天体。|The sun, moon and stars are heavenly bodies.|tài yáng、 yuè liàng huò xīng xing dōu shì tiān tǐ。
这支歌的乐曲使她心旷神怡。|The music of this song sent her carefree and joyous.|zhè zhī gē de yuè qǔ shǐ tā xīn kuàng shén yí。
他在40 个人的班级里排第九名。|He took the ninth position in his class of forty.|tā zàì0  gè rén de bān jí lǐ pǎi dì jiǔ míng。
这个屋子的面积是80平方米。|The overall measurement of this room is 80 square meters.|zhè gè wū zi de miàn ji shì80 píng fāng mǐ。
她把画儿上的一小部分擦乾净了.|She cleaned a small segment of the painting.|tā bǎ huàr shàng de yī xiǎo bù fen cā qián jìng le.
秋天树叶由绿色变成黄褐色。|In autumn the leaves change from green to brown.|qiū tiān shù yè yóu lu:4 sè biàn chéng huáng hè sè。
秋天树叶由绿色变成黄褐色。|In autumn the leaves change from green to brown.|qiū tiān shù yè yóu lu:4 sè biàn chéng huáng hè sè。
【谚】东也好，西也好，还是家最好。|East or west, home is best.|【 yàn】 dōng yě hào， xī yě hào， hái shì jiā zuì hǎo。
崎岖不平的道路使车颠簸得很厉害。|The rough road made the car vibrate.|qī qū bù píng de dào lù shǐ jū diān bǒ de hěn lì hai。
女王以传统仪式举行了加冕礼。|The queen was crowned with proper ceremony.|nu:3 wáng yǐ chuán tǒng yí shì jǔ xíng le jiā miǎn lǐ。
人们聚集在篝火周围唱歌。|The men clustered together round the fire and sang songs.|rén men jù jí zài gōu huǒ zhōu wéi chàng gē。
介词在词典中略作 “prep”。|Preposition is abbreviated as prep in this dictionary.|jiè cí zài cí diǎn zhòng lu:è zuò “prep”。
帮我洗洗这些锅碗瓢盆好吗？|Will you help me to wash up all these pots and pans?|bāng wǒ xǐ xǐ zhè xie guō wǎn piáo pén hào ma？
你真的一点也不关心你的将来？|Do you really care nothing about your future?|nǐ zhēn de yī diǎn yě bù guān xīn nǐ de jiāng lái？
我可以搭乘你的便车到车站吗？|Can I hitch a lift with you as far as the station?|wǒ kě yǐ dā chéng nǐ de pián jū dào chē zhàn ma？
窗帘上绘有精美的花卉图案。|The curtains had an elaborate pattern of flowers.|chuāng lián shàng huì yǒu jīng měi de huā huì tú àn。
水痘是一种常见的儿童期疾病。|Chicken pox is a common childhood sickness.|shuǐ dòu shì yī zhòng cháng jiàn de ér tóng qī jí bìng。
你认为他当真要离开公司吗？|Do you think he is serious about leaving the company?|nǐ rèn wéi tā dàng zhēn yào lí kāi gōng sī ma？
精通一门外语难不难?|Is it difficult to feel at home in (ie confident when using) a foreign language?|jīng tōng yī mén wài yǔ nàn bù nàn?
懦夫一生要经过许多次死的痛苦。|Cowards die many times before their death.|nuò fū yī shēng yào jīng guò xǔ duō cì sǐ de tòng kǔ。
我还能有别的方法可以向她道歉吗？|How else can I apologize for her?|wǒ huán néng yǒu bié de fāng fǎ kě yǐ xiàng tā dào qiàn ma？
谁把我写在黑板上的数字擦掉了?|Who's rubbed my figures off the blackboard?|shéi bǎ wǒ xiě zài hēi bǎn shàng de shù zì cā diào le?
游完泳后你愿意放松一下吗？|Would you like to have some relaxation after swimming?|yóu wán yǒng hòu nǐ yuàn yì fàng sōng yī xià ma？
一座雄伟的大桥横亘在大江之上。|A magnificent bridge spans the river.|yī zuò xióng wěi de dà qiáo hèng gèn zài dà jiāng zhī shàng。
伦敦是世界上最大的城市之一。|London is among the greatest cities of the world.|lún dūn shì shì jiè shàng zuì dà de chéng shì zhī yī。
你弟弟今天上午在公园玩耍吗？|Did your brother play in the park this morning?|nǐ dì di jīn tiān shàng wǔ zài gōng yuán wàn shuǎ ma？
什么是解决这个问题的最好方法？|What's the best way to tackle this problem?|shén me shì jiě jué zhè gè wèn tí de zuì hǎo fāng fǎ？
包饺子前，我把瘦肉细细剁碎。|I minced the lean meat finely before making dumplings.|bāo jiǎo zi qián， wǒ bǎ shòu ròu xì xì duò suì。
要是问题一次只发生一个该多好！|If only problems would come one at a time!|yào shì wèn tí yī cì zhǐ fā shēng yī gè gāi duō hào！
总统正在对欧洲做私人访问。|The president is paying a private visit to Europe.|zǒng tǒng zhèng zài duì ōu zhōu zuò sī rén fǎng wèn。
咱们一起复习你的英语练习好吗？|Shall we go over your English exercises together?|zán men yī qǐ fù xí nǐ de Yīng yǔ liàn xí hào ma？
你看到火车站对面的房子了吗？|Have you seen the house opposite the railway station?|nǐ kàn dào huǒ chē zhàn duì miàn de fáng zi le ma？
你能告诉我这些鞋子的零售价吗？|Could you tell me the retail prices of these shoes?|nǐ néng gào su wǒ zhè xie xié zi de líng shòu jie ma？
这只小动物有一双淡褐色的眼睛。|This small animal has a pair of hazel eyes.|zhè zhǐ xiǎo dòng wù yǒu yī shuāng dàn hè sè de yǎn jīng。
这个女人说：也许他又聋又哑吧。|Perhaps he's deaf and dumb,  said the woman.|zhè gè nu:3 rén shuō： yě xǔ tā yòu lóng yòu yǎ ba。
谁自愿来帮忙收拾一下这些盘子？|Can I have a volunteer to wash the dishes?|shéi zì yuàn lái bāng máng shōu shi yī xià zhè xie pán zi？
我丢了一块带蓝色花边的白手绢。|I lost a white handkerchief with a blue border.|wǒ diū le yī kuài dài lán sè huā biān de bái shǒu juàn。
包饺子前，我把瘦肉细细剁碎。|I minced the lean meat finely before making dumplings.|bāo jiǎo zi qián， wǒ bǎ shòu ròu xì xì duò suì。
车朝我开过来时约翰叫道:小心!|Look out! Jone called as the car came towards me.|jū cháo wǒ kāi guò lai shí Yuē hàn jiào dào: xiǎo xīn!
日落时, 西边天空有一道红晖.|At sunset, there was a bar of red across the western sky.|rì luò shí,  xī biān tiān kōng yǒu yī dào hóng huī.
贵国是什么时候实行普选权的？|When was universal suffrage introduced in your country?|guì guó shì shén me shí hou shí xíng pǔ xuǎn quán de？
请您告诉我怎样去联络律师？|Could you please inform me how to go about contacting a lawyer?|qǐng nín gào su wǒ zěn yàng qù lián luò lu:4 shī？
他们正在建设一条海底电缆隧道。|They are building a submarine cable tunnel.|tā men zhèng zài jiàn shè yī tiáo hǎi dǐ diàn lǎn suì dào。
你能告诉我去火车站最近的路吗？|Can you tell me the nearest way to the railway station?|nǐ néng gào su wǒ qù huǒ chē zhàn zuì jìn de lù ma？
我坐在庭院里享受明媚的阳光。|I was sitting in the garden enjoying the sunshine.|wǒ zuò zài tíng yuàn lǐ xiǎng shòu míng mèi de yáng guāng。
送小孩上学的重担又推给了我！|I got saddled with taking the children to school again!|sòng xiǎo hái shàng xué de zhòng dàn yòu tuī jǐ le wǒ！
中央C音相当於每秒钟振动256次.|Middle C is equivalent to 256 vibrations per second.|zhōng yāngC yīn xiāng dāng yū měi miǎo zhōng zhèn dò2ng6 cì.
请您告诉我怎样去联络律师？|Could you please inform me how to go about contacting a lawyer?|qǐng nín gào su wǒ zěn yàng qù lián luò lu:4 shī？
克莱尔, 那板上的画儿是你的大作吗?|Is that drawing on the board your handiwork, Clare?|kè lái ěr,  nà bǎn shàng de huàr shì nǐ de dà zuò ma?
你是怎样庆祝结婚周年纪念日的？|How did you celebrate your wedding anniversary?|nǐ shì zěn yàng qìng zhù jié hūn zhōu nián jì niàn rì de？
月球对地球的吸引力造成潮汐。|The attraction of the moon for the earth causes the tides.|yuè qiú duì dì qiú de xī yǐn lì zào chéng cháo xì。
你还记得我们解剖青蛙的那堂课吗？|Do you remember the lesson on the anatomy of a frog?|nǐ huán jì de wǒ men jiě pōu qīng wā de nà táng kè ma？
这本书名为《美国文学指南》。|This book is titled An Introduction to American Literature.|zhè běn shū míng wèi《 Měi guó wén xué zhǐ nán》。
｀他听得见我们的话吗?＇｀大概听不见.＇|`Can he hear us?' `Probably not.'|｀ tā tìng de xiàn wǒ men de huà ma?＇｀ dà gài tìng bù jiàn.＇
你能不能派个助手来取这份档案？|Can you send one of your minions to collect this file?|nǐ néng bù néng pài gè zhù shǒu lái qǔ zhè fèn dàng àn？
这位不是别人，正是我的老朋友约翰。|This is no other than my old friend, John.|zhè wèi bú shì bié rén， zhèng shì wǒ de lǎo péng you Yuē hàn。
这些树林里经常栖息着各种鸟类。|These woods are frequented by all kinds of birds.|zhè xie shù lín lǐ jīng cháng qī xī zhuó gè zhǒng niǎo lèi。
这位不是别人，正是我的老朋友约翰。|This is no other than my old friend, John.|zhè wèi bú shì bié rén， zhèng shì wǒ de lǎo péng you Yuē hàn。
她提　一个棕色的纸包，里面是书。|She was carrying a parcel of books done up in brown paper.|tā tí　 yī gè zōng sè de zhǐ bāo， lǐ miàn shì shū。
这位不是别人，正是我的老朋友约翰。|This is no other than my old friend, John.|zhè wèi bú shì bié rén， zhèng shì wǒ de lǎo péng you Yuē hàn。
劳驾，您能告诉我在哪能买到邮票吗？|Excuse me, can you tell where to get stamp?|láo jià， nín néng gào su wǒ zài něi néng mǎi dào yóu piào ma？
不要着急：这项工程会有好结果的|Don't worry: this project will come out in the wash.|bù yào zháo jí： zhè xiàng gōng chéng kuài yǒu hào jié guǒ de
